Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
0.000,59.500,es-us,,,,"Ahí empezó listo muchachos, Pues nada, otra vez con texto estamos intentando predecir precios de carros, que esto es el la punta del iceberg, la idea, después es hacer como algo más elaborado como incluso encontrar, eh? Oportunidades en el mercado, incluso comparar referencias de marcas. Hasta podría sacarse estadísticas de compras ventas O sea ya Cuál es la marca que está creciendo en compras que está cayendo fuerza Cuáles No eso, con estos datos se puede hacer Pues básicamente todo como siempre el fin de semana a correr el programa hoy lo corrió otra vez para hacer el scraping dato curioso. Hoy creo que me banearon como por 2 horas, lo corrí dos veces y a la segunda no me dejó y me he tirado un error de como acceso denegado y ya después esperé 2 horas y bien Eso era lo que yo les decía que de pronto hay que tener cuidado porque tocó hacerlo con una estrategia de goteo como de a poquitos, porque ellos me imagino que en sus sistemas."
59.000,118.200,es-us,,,,"Irán previniendo eso en el futuro aquí en Colombia todavía no lo hacen como con tanta precaución Así que no es importante aquí lo que voy a hacer es la exportación a través de ese documento no siempre voy a abrir este este folder por aquí ese documento Listo ya lo exportó cerramos aquí abrimos el programa de nuestro proyecto que se está acá lo que hacemos Es lo mismo de siempre pues borramos aquí input todo lo sobre escribimos. Hacemos versiones, no importa igual está en la base de datos que Recuerden que es un mongodb se encuentra ahí tiramos esto para acá y tenemos más datos entonces actualmente."
118.900,178.800,es-us,0.84992,,,"Vamos con yo creía que estamos por el orden de 70. Sí, 79.000 que Recuerden que muchos duplicados, pero ya vimos que constantemente se están agregando nuevos datos. Entonces estábamos en la parte de la exploración, ya hemos hecho un profile inicial y la sesión anterior Ah nos quedaba como con con esta tarea de cómo Cómo podemos especialmente transformar los categóricos algo numérico o algo que el modelo pueda entender sí que eso es, básicamente lo que queremos hacer, eh? No sé si alguno Tuvo una oportunidad de de revisarlo, igual voy a ir bajando Y si alguno tiene alguna idea en algún momento o algo que haya podido hacer lo evaluamos en cada uno de los hechos, eh? Algo adicional que agregue acá es, eh? Había un feature que no habíamos incluido en la sesión anterior que era la pintura exterior."
179.000,238.300,es-us,,,,"El color exterior que yo creo que puede ser importante, entonces la se agregó y misma idea que se tenía con la el color interior es muy parecido, pero entonces acá me gustaría establecer ciertas cosas se agregamos las librerías que ya vamos a ver para qué sirve cada una, eh? Se agregó está que es la que yo les comentaba la sesión anterior es como un modelo que ya pre entrenar con todas las palabras como el diccionario y texto y demás y que ella tiene esa posibilidad de ordenarme un poco estas palabras Eh con vectores que ya ahorita la vamos a ver qué qué vamos a ver, vamos a entonces aquí va a ejecutar esta primera parte que es inicializamos Okay se está demorando en este caso Debería ser ágil, ahí comenzó leemos el documento y podemos tener 7910 bien borramos los que no son necesarias las consolas ahí tenemos a costar la de colores exterior que les comentaba Acá está."
238.900,298.800,es-us,0.83872,,,"Eh, el shape, en las columnas más filas se limpian los datos después de limpiarlos es quitar el duplicado, tenemos 38,000. Ya vamos cogiendo con las semanitas más más y más datos aquí en el futuro, eh, Es probable que necesitemos agregar un nuevo fichero cuando ya tenemos muchos datos por mucho tiempo, eh? Que puede que sea digamos la fecha de publicación de ese ítem de ese carro, por qué? Porque ustedes saben que vender un carro hace 5 años o Hace 2 años Puede que haya cambiado a venderlo ahorita por términos de inflación por términos de que la moneda o que el mismo carro se va evaluando con más fuerza cosas así como nosotros no tenemos a veces ese ese dato como tal hay una forma como de integrarlo indirectamente que podría ser con el tiempo, pero con el tiempo podemos encontrar esas diferencias que puede haber en esas en esos periodos de tiempo, eh? Sin"
299.000,358.800,es-us,0.81816,,,"Permite tener el el dato de la inflación O esos datos externos, pero el tiempo podría ser un equivalente que fueron momentos diferentes en el que se publicaron Entonces eso en el futuro por ahora ya llevamos que un mes entonces no no es tan complicado, eh? Listo ahí se borran los duplicados, vamos con este que era en este simplemente estábamos reemplazando todo lo que fuera, eh? Igual a cero que era el precio del manufacturador por vacío que es básicamente vacío porque más adelante vamos a hacer un una imputación y lo podemos, eh? El precio lo podemos encontrar con base a las demás fichas que lo vamos a ver más adelante. Yo creo que la próxima sesión ya estamos tocando sus datos aquí volvemos a sacar estos datos del skip como para saber la distribución Recuerden que les decía el squid Curtis me hablaban un poco de qué tan aglomerados distribuidos."
359.000,416.000,es-us,,,,"Estaban los datos Entonces el Script básicamente representaba algún corrimiento a la derecha a la izquierda con cola y el Curtis básicamente qué tan aglomerados estaban o si estaban bien esparcidos entonces un dato ideal para el Script era cero un dato ideal para el corti será 3 que es más o menos la la cantidad que se tiene para que no esté tan aglomerado, pero tampoco esté tan esparcido Entonces se tiene esos datos. Aquí miramos mínimos el máximo Ah De hecho, Mira hay uno mínimo. Eso es interesante esto cambia y este sí se mató. Eso está eso Está chévere, aquí veamos cómo pasó con los datos aquí ya sé alcanzará incluso una cola más más larga que la veremos también más adelante, cómo manejarlo o con los layers o algo así la remoción de lives, ya veremos Cómo se puede manejar ese caso veamos cómo van los años Ahora parece que tenemos."
418.900,478.200,es-us,,,,"No yo menor a que hagamos el año menor Sí la verdad es 1936 no tenemos un carro más viejo bien, eh? En este caso ya están numéricos Todo La idea, es transformar todo numérico y después similar estás destrucciones como las cortamos y demás, eh? El modelo Entonces el modelo era uno que está bastante interesante que nosotros pues en el análisis que hicimos la sesión anterior decíamos, eh? La forma en la que se puede manejar es utilizando hashtag La razón, técnica o las razones que hay detrás es que, eh, No tenemos un bocado cerrado es decir, puede que hayan más carros menos carros con el tiempo, eh? De hecho Mira acá, habían 999 Entonces ahora hay como otras marcas más, sí que serían Eh 1038 entonces."
479.000,538.600,es-us,0.76674,,,"Eh, el modelo, Perdón este es el modelo Esta es la marca Pero entonces que no es un vocal cerrado eso significa que no hay una forma de definir con precisión, eh sea con un buen un buen curicó el nombre de columnas y demás, sino que eso puede variar Incluso en el futuro Se podrían remover algunos modelos que ya son obsoletos y no se van a usar Entonces es variable en este caso usamos hashtag, eh? Porque nos entrega este esta forma acotada de tener como un vocales cerrado y que podría pasar es que tendríamos colisión Ese es como la parte negativa, podríamos tener colisiones y un un negativo adicional que vimos en la sesión anterior Es que como yo lo estoy entregando un número específico esto Podría tener, eh? Inducción de un orden como yo decir el Outback va primero el Script va segundo tercero cuarto así como en orden, pero en realidad no es no es cierto que haya un orden entre ellos."
539.000,598.600,es-us,0.83819,,,"Simplemente son diferentes, Qué pasó que fue donde las cosas que encontré en esta en esta exploración que dice que me pareció brutal encontré otra forma de aplicar hattrick, que evita que haya orden y es agregando, eh? Tenemos que agregar más dimensiones es decir más columnas, pero ya ya manejamos sobre diferentes ejes el, eh? La aplicación del Hash el Hash no solamente funciona con un número, sino puede funcionar con varios vectores en diferentes ejes Déjenme Les explico, a qué me refiero, eh, A ver si incluso yo creo, quiero creer que podemos sacar una imagen de eso acá de nuevo para ver 1031, aquí queremos aplicar No aquí Aquí empieza la transformación de El Fast Trick eh, para manejar se llama arte, eh? Alta cardinalidad cuando tiene muchos valores también diferentes em."
